Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Shows,Average gross,Tour title	,Start_Year,End_Year
1,1,2,"$780,000,000","$780,000,000",Taylor Swift,The Eras Tour †,56,"$13,928,571",The Eras Tour ,2023,2024
2,1,7,"$579,800,000","$579,800,000",Beyoncé,Renaissance World Tour,56,"$10,353,571",Renaissance World Tour,2023,
3,1,2,"$411,000,000","$560,622,615",Madonna,Sticky & Sweet Tour ‡[4][a],85,"$4,835,294",Sticky  Sweet Tour 4a,2008,2009
4,2,10,"$397,300,000","$454,751,555",Pink,Beautiful Trauma World Tour,156,"$2,546,795",Beautiful Trauma World Tour,2018,2019
5,2,-,"$345,675,146","$402,844,849",Taylor Swift,Reputation Stadium Tour,53,"$6,522,173",Reputation Stadium Tour,2018,
6,2,10,"$305,158,363","$388,978,496",Madonna,The MDNA Tour,88,"$3,467,709",The MDNA Tour,2012,
7,2,-,"$280,000,000","$381,932,682",Celine Dion,Taking Chances World Tour,131,"$2,137,405",Taking Chances World Tour,2008,2009
7,-,-,"$257,600,000","$257,600,000",Pink,Summer Carnival †,41,"$6,282,927",Summer Carnival ,2023,2024
9,-,-,"$256,084,556","$312,258,401",Beyoncé,The Formation World Tour,49,"$5,226,215",The Formation World Tour,2016,
10,-,-,"$250,400,000","$309,141,878",Taylor Swift,The 1989 World Tour,85,"$2,945,882",The 1989 World Tour,2015,
11,-,-,"$229,100,000[b]","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,132,"$1,735,606",The Mrs Carter Show World Tour,2013,2014
12,-,14,"$227,400,000","$295,301,479",Lady Gaga,The Monster Ball Tour *,203,"$1,118,227",The Monster Ball Tour ,2009,2011
13,-,-,"$204,000,000","$251,856,802",Katy Perry,Prismatic World Tour,151,"$1,350,993",Prismatic World Tour,2014,2015
14,1,-,"$200,000,000","$299,676,265",Cher,Living Proof: The Farewell Tour ‡[21][a],325,"$615,385",Living Proof The Farewell Tour 21a,2002,2005
15,2,-,"$194,000,000","$281,617,035",Madonna,Confessions Tour,60,"$3,233,333",Confessions Tour,2006,
16,-,-,"$184,000,000","$227,452,347",Pink,The Truth About Love Tour,142,"$1,295,775",The Truth About Love Tour,2013,2014
17,-,-,"$170,000,000","$213,568,571",Lady Gaga,Born This Way Ball,98,"$1,734,694",Born This Way Ball,2012,2013
18,-,-,"$169,800,000","$207,046,755",Madonna,Rebel Heart Tour,82,"$2,070,732",Rebel Heart Tour,2015,2016
19,-,-,"$167,700,000[e]","$204,486,106",Adele,Adele Live 2016,121,"$1,385,950",Adele Live 2016,2016,2017
20,-,-,"$150,000,000","$185,423,109",Taylor Swift,The Red Tour,86,"$1,744,186",The Red Tour,2013,2014
